,Swedish,Arabic,Norwegian (Bokmål),Romanian,German,Indonesian,French,Russian,Italian,Greek,Finnish,Spanish,Chinese,Polish,English,Czech,Hungarian,Thai,Dutch,Catalan
Swedish,1.0,0.28419412296919483,0.9254917757634986,0.7480240273132456,-0.3175134158865785,0.6997652778357444,0.816042899993758,0.6997687933899841,0.793898082457102,0.4296804933885665,0.5573763397472941,0.844789019519118,0.45327360064904154,0.7801761306578406,0.895649848147416,0.851128183393394,0.7715745445618644,0.041447298981532106,0.8836122242636169,0.8362929761170381
Arabic,0.28419412296919483,1.0,0.37117895254888295,0.19117855763516386,-0.7361294376244405,-0.06063194222743604,0.5750202563552183,0.2375705155270116,0.6231940392102735,0.1827108593277282,0.5406630964578129,0.4712184870790589,-0.12606014643293295,0.23029625801314507,0.3078116097238294,0.17234884662335262,0.45905843921171113,-0.09735990368302695,0.35592086276245105,0.4715085831450854
Norwegian (Bokmål),0.9254917757634986,0.37117895254888295,1.0,0.6548403791536336,-0.39317412410558006,0.6618160033544163,0.8464761415037884,0.5937771470820651,0.8358243893016213,0.3399118286556561,0.5462511813491923,0.8519708600867115,0.49632136703916674,0.6801231564016805,0.8900586505400222,0.7645004404091882,0.7836429128764012,0.006953892052233576,0.8636931080495994,0.8690131867887223
Romanian,0.7480240273132456,0.19117855763516386,0.6548403791536336,1.0,-0.33079231286810196,0.4960352016838846,0.6760135995897378,0.9024815577826975,0.6154177970965179,0.737033647873065,0.6156823255551435,0.6691258962741367,0.17988923923867675,0.9211464209592672,0.6211381386509895,0.8632066830703682,0.6536616929719539,-0.04922902445376127,0.8327202573526457,0.6578295799736864
German,-0.3175134158865785,-0.7361294376244405,-0.39317412410558006,-0.33079231286810196,1.0,-0.00676027673118321,-0.5446864026239248,-0.3707834376148362,-0.5218820973259498,-0.33089232649051287,-0.7026766499576148,-0.4132501442852579,-0.10342973190362939,-0.3244862805125224,-0.21884734901398398,-0.15916517205738032,-0.347673159107593,-0.1598714653326008,-0.4590476529864265,-0.4377744730861508
Indonesian,0.6997652778357444,-0.06063194222743604,0.6618160033544163,0.4960352016838846,-0.00676027673118321,1.0,0.5175818922296727,0.38915733595440316,0.5028460821770326,0.08911621767772386,0.12370885114917224,0.638714535420309,0.5225598956522298,0.48656182205119325,0.802133152551864,0.6669302124666093,0.4817603404102951,0.2601916010940675,0.6168932363827851,0.6307405584054032
French,0.816042899993758,0.5750202563552183,0.8464761415037884,0.6760135995897378,-0.5446864026239248,0.5175818922296727,1.0,0.6550591586451633,0.9283745537028143,0.42623187800369927,0.6838875149049098,0.9345829088920402,0.294547527234169,0.7065528178279991,0.8393570734806676,0.7222874184194653,0.8148461803872916,0.052265221144005405,0.8735374352808394,0.9378606140504702
Russian,0.6997687933899841,0.2375705155270116,0.5937771470820651,0.9024815577826975,-0.3707834376148362,0.38915733595440316,0.6550591586451633,1.0,0.5786639256089869,0.7803126410773107,0.6895687454840026,0.6059348642803182,0.029045053067997595,0.9418675781521892,0.5530452591112186,0.8423774398758334,0.5952728492086345,-0.16227979539318602,0.8252115108027123,0.5979493476246386
Italian,0.793898082457102,0.6231940392102735,0.8358243893016213,0.6154177970965179,-0.5218820973259498,0.5028460821770326,0.9283745537028143,0.5786639256089869,1.0,0.4156706965367274,0.6755218742071611,0.946413231572366,0.2838242437002411,0.6637843242894349,0.8404521566845506,0.6935093673229143,0.8663323426153396,0.10189883642089011,0.8189738440126235,0.9383189992145493
Greek,0.4296804933885665,0.1827108593277282,0.3399118286556561,0.737033647873065,-0.33089232649051287,0.08911621767772386,0.42623187800369927,0.7803126410773107,0.4156706965367274,1.0,0.612112583561721,0.37993469556093096,-0.1809740245156171,0.7941639865182412,0.21680098773035913,0.6184813227115306,0.5047474059031003,-0.18872679274831883,0.5761135023636785,0.35254339242298816
Finnish,0.5573763397472941,0.5406630964578129,0.5462511813491923,0.6156823255551435,-0.7026766499576148,0.12370885114917224,0.6838875149049098,0.6895687454840026,0.6755218742071611,0.612112583561721,1.0,0.605251272928248,-0.07165332859285692,0.631310240250698,0.3979798236244319,0.5082037943329901,0.5506866770954804,-0.03949662705085201,0.7069942830493632,0.5989872750223082
Spanish,0.844789019519118,0.4712184870790589,0.8519708600867115,0.6691258962741367,-0.4132501442852579,0.638714535420309,0.9345829088920402,0.6059348642803182,0.946413231572366,0.37993469556093096,0.605251272928248,1.0,0.39542068456249285,0.6989310442370648,0.9148105345825359,0.7608170495948091,0.834489297924691,0.15802619445574884,0.864409841507681,0.9777571488399907
Chinese,0.45327360064904154,-0.12606014643293295,0.49632136703916674,0.17988923923867675,-0.10342973190362939,0.5225598956522298,0.294547527234169,0.029045053067997595,0.2838242437002411,-0.1809740245156171,-0.07165332859285692,0.39542068456249285,1.0,0.11594254700792495,0.519724902997399,0.2386475981973464,0.2171637394612705,0.05388017272776187,0.3265582934397582,0.4192288859517919
Polish,0.7801761306578406,0.23029625801314507,0.6801231564016805,0.9211464209592672,-0.3244862805125224,0.48656182205119325,0.7065528178279991,0.9418675781521892,0.6637843242894349,0.7941639865182412,0.631310240250698,0.6989310442370648,0.11594254700792495,1.0,0.659050095645572,0.9176465614320956,0.7157243880540923,-0.06651031251141543,0.8562250357121001,0.6793000664663872
English,0.895649848147416,0.3078116097238294,0.8900586505400222,0.6211381386509895,-0.21884734901398398,0.802133152551864,0.8393570734806676,0.5530452591112186,0.8404521566845506,0.21680098773035913,0.3979798236244319,0.9148105345825359,0.519724902997399,0.659050095645572,1.0,0.8077613453462403,0.7731191162290338,0.13372484443604613,0.8279666080017039,0.9100098334862925
Czech,0.851128183393394,0.17234884662335262,0.7645004404091882,0.8632066830703682,-0.15916517205738032,0.6669302124666093,0.7222874184194653,0.8423774398758334,0.6935093673229143,0.6184813227115306,0.5082037943329901,0.7608170495948091,0.2386475981973464,0.9176465614320956,0.8077613453462403,1.0,0.7564533155662996,-0.028012276165489115,0.8668383022617413,0.7432792775382557
Hungarian,0.7715745445618644,0.45905843921171113,0.7836429128764012,0.6536616929719539,-0.347673159107593,0.4817603404102951,0.8148461803872916,0.5952728492086345,0.8663323426153396,0.5047474059031003,0.5506866770954804,0.834489297924691,0.2171637394612705,0.7157243880540923,0.7731191162290338,0.7564533155662996,1.0,0.14268656350430256,0.7582337658747133,0.8205378479007749
Thai,0.041447298981532106,-0.09735990368302695,0.006953892052233576,-0.04922902445376127,-0.1598714653326008,0.2601916010940675,0.052265221144005405,-0.16227979539318602,0.10189883642089011,-0.18872679274831883,-0.03949662705085201,0.15802619445574884,0.05388017272776187,-0.06651031251141543,0.13372484443604613,-0.028012276165489115,0.14268656350430256,1.0,-0.017930554422257227,0.1441061973578285
Dutch,0.8836122242636169,0.35592086276245105,0.8636931080495994,0.8327202573526457,-0.4590476529864265,0.6168932363827851,0.8735374352808394,0.8252115108027123,0.8189738440126235,0.5761135023636785,0.7069942830493632,0.864409841507681,0.3265582934397582,0.8562250357121001,0.8279666080017039,0.8668383022617413,0.7582337658747133,-0.017930554422257227,1.0,0.8671540682465684
Catalan,0.8362929761170381,0.4715085831450854,0.8690131867887223,0.6578295799736864,-0.4377744730861508,0.6307405584054032,0.9378606140504702,0.5979493476246386,0.9383189992145493,0.35254339242298816,0.5989872750223082,0.9777571488399907,0.4192288859517919,0.6793000664663872,0.9100098334862925,0.7432792775382557,0.8205378479007749,0.1441061973578285,0.8671540682465684,1.0
