,Arabic,Bulgarian,Catalan,Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Greek,Hebrew,Hindi,Hungarian,Indonesian,Italian,Latvian,Lithuanian,Norwegian (Bokmål),Polish,Portuguese,Romanian,Russian,Slovak,Slovenian,Spanish,Swedish,Thai,Turkish,Ukrainian,Vietnames
0,1,0.230587572,0.197100494,-0.265847138,0.136406894,0.209138973,0.116046129,0.162642321,0.206371694,-0.035384818,0.075987735,0.054947461,0.371428571,0.212540975,0.251976806,0.076679906,0.416255464,0.292330467,-0.115998943,0.2977223,0.283589455,0.19895219,-0.22484296,0.019437947,0.039586919,0.18897281,0.148239524,-0.048216552,-0.030805019,-0.038593709,-0.094671508,-0.130966768,-0.239786506,-0.5
1,0.230587572,1,0.227517205,0.131636541,0.280743962,0.472704513,0.328263258,0.135291033,0.369235219,0.405968078,0.118002653,0.200703732,0.333333333,0.311165947,0.19760583,0.060800604,0.388193203,0.195176115,0.321462693,0.14090861,0.318107516,0.314623637,0.142459381,0.259534481,0.179694099,0.518475109,0.277519046,0.326383321,0.377984086,0.394107076,-0.046327687,0.111721999,0.150879019,-0.4
2,0.197100494,0.227517205,1,0.228851964,0.283607553,0.270742089,0.360551604,0.431335126,0.246084526,0.196851249,0.134682666,0.4658883,0.19047619,0.275923891,0.15092291,0.216269562,0.326046727,0.400312292,0.49660787,0.283210333,0.31309276,0.513939789,0.227170905,0.608289679,0.408469114,0.315351161,0.096978459,0.38156373,0.509946797,0.230992226,0.049680122,0.199855035,0.026275787,0
3,-0.265847138,0.131636541,0.228851964,1,0.365620634,0.130696175,0.199546828,0.414866456,0.344749462,0.396571256,0.337156057,0.335072326,0,0.156764206,0.019333887,0.183456515,0.191116875,0.114285714,0.479156685,0.162586042,0.10398768,0.371464182,0.377199156,0.474946192,0.184243287,0.344878665,0.290229769,0.433926329,0.374209758,0.499718521,0.12871668,0.251571737,0.271731742,0.4
4,0.136406894,0.280743962,0.283607553,0.365620634,1,0.198003492,0.183558396,0.182603332,0.279130284,0.705739483,0.508450531,0.258034248,0.107142857,0.459702045,0.449906029,-0.070843246,0.493785276,0.177898406,0.334036106,0.513425362,0.524874318,0.245445608,0.201874956,0.504250276,-0.009383064,0.413547707,0.431532199,0.384233415,0.46103075,0.253894411,0.446327715,0.295421704,0.160994651,0.4
5,0.209138973,0.472704513,0.270742089,0.130696175,0.198003492,1,0.345259392,0.334552405,0.58997687,0.344929682,0.331016307,0.410958904,0.857142857,0.313774586,0.262706637,0.154076836,0.313830138,0.45252685,0.394333439,0.104674873,0.126836661,0.540328802,0.486878375,0.416283732,0.111358575,0.405864525,0.397759842,0.22343019,0.628978059,0.410431718,-0.27789271,0.078468394,0.14347397,-0.4
6,0.116046129,0.328263258,0.360551604,0.199546828,0.183558396,0.345259392,1,0.393337382,0.45074781,0.34636265,0.363105394,0.382765533,0.833333333,0.212538315,0.167969599,0.140067673,0.406662041,0.213630975,0.467250524,0.169148656,0.359356929,0.533376768,0.41520622,0.337612987,0.215125905,0.324234293,0.322741074,0.171987046,0.195292621,0.370272763,0.070003808,0.182129679,0.04723127,-0.2
7,0.162642321,0.135291033,0.431335126,0.414866456,0.182603332,0.334552405,0.393337382,1,0.309507289,0.232021514,0.358892113,0.579270873,0.023809524,0.329189673,0.180204147,0.230658068,0.27543876,0.363406434,0.518562441,0.270134999,0.220536073,0.452515905,0.33490364,0.549040022,0.400225219,0.299901154,0.168835977,0.139971007,0.344221339,0.568176212,-0.025602417,-0.035458743,0.131509702,-0.8
8,0.206371694,0.369235219,0.246084526,0.344749462,0.279130284,0.58997687,0.45074781,0.309507289,1,0.430746682,0.256505146,0.471315939,0.738095238,0.360734424,0.173112939,0.327048458,0.169948247,0.3144625,0.487973356,0.155559216,0.238644578,0.448425627,0.374357623,0.561611117,0.197412554,0.441956576,0.359315369,0.149015526,0.496834071,0.514165239,-0.313888044,0.210838412,0.112640122,1
9,-0.035384818,0.405968078,0.196851249,0.396571256,0.705739483,0.344929682,0.34636265,0.232021514,0.430746682,1,0.451036517,0.459487716,0.404761905,0.371616933,0.486455676,-0.008387961,0.34840687,0.261897878,0.505628026,0.345061606,0.541779911,0.418360978,0.309866579,0.47455419,-0.008363826,0.330691176,0.332321393,0.320649974,0.442606835,0.475242959,0.146837391,0.190156157,0.285272244,0.8
10,0.075987735,0.118002653,0.134682666,0.337156057,0.508450531,0.331016307,0.363105394,0.358892113,0.256505146,0.451036517,1,0.327062908,0.523809524,0.213490424,0.233729436,0.297775932,0.325983038,0.032876881,0.356215824,0.250220264,0.239383192,0.456106873,0.512263885,0.1506881,-0.145892949,0.332937999,0.460969122,0.027201234,0.32925212,0.427967296,0.252164256,0.065127753,-0.128371932,1
11,0.054947461,0.200703732,0.4658883,0.335072326,0.258034248,0.410958904,0.382765533,0.579270873,0.471315939,0.459487716,0.327062908,1,0,0.179694099,0.289510368,0.414250994,0.249085206,0.323043723,0.603674276,0.004251873,0.139801088,0.598875969,0.487770179,0.690421223,0.504268437,0.320206521,0.31233288,0.072340026,0.65037463,0.587469221,-0.093251604,0.172594944,0.175117616,0.4
12,0.371428571,0.333333333,0.19047619,0,0.107142857,0.857142857,0.833333333,0.023809524,0.738095238,0.404761905,0.523809524,0,1,0.142857143,0.738095238,0.428571429,0.404761905,0.595238095,0.285714286,-0.257142857,-0.285714286,0.904761905,-0.214285714,-0.166666667,0.321428571,-0.428571429,0.285714286,0.404761905,0.285714286,-0.028571429,-0.051298918,-0.485714286,-0.428571429,0
13,0.212540975,0.311165947,0.275923891,0.156764206,0.459702045,0.313774586,0.212538315,0.329189673,0.360734424,0.371616933,0.213490424,0.179694099,0.142857143,1,0.283252372,-0.017522659,0.255999014,0.235803954,0.279624445,0.251718183,0.189803535,0.164830398,0.156486802,0.448633802,0.297630777,0.349103848,0.232489283,0.269808469,0.531706867,0.378502203,0.195785852,0.160998132,-0.044529262,0.4
14,0.251976806,0.19760583,0.15092291,0.019333887,0.449906029,0.262706637,0.167969599,0.180204147,0.173112939,0.486455676,0.233729436,0.289510368,0.738095238,0.283252372,1,0.163248044,0.368530619,0.11201064,0.322077281,0.361665678,0.367489736,0.404028341,0.097446879,0.263062183,0.210838125,0.050704747,0.22754214,0.080668479,0.298097496,0.298665788,0.140813293,-0.214535152,0.146300418,-0.4
15,0.076679906,0.060800604,0.216269562,0.183456515,-0.070843246,0.154076836,0.140067673,0.230658068,0.327048458,-0.008387961,0.297775932,0.414250994,0.428571429,-0.017522659,0.163248044,1,-0.156106034,-0.084740002,0.416305361,-0.123899974,-0.16229892,0.269430053,0.170928395,0.18185022,0.121531895,0.09929078,0.059434354,-0.126349974,0.25050978,0.134349815,-0.307851404,-0.125871292,0.013815465,1
16,0.416255464,0.388193203,0.326046727,0.191116875,0.493785276,0.313830138,0.406662041,0.27543876,0.169948247,0.34840687,0.325983038,0.249085206,0.404761905,0.255999014,0.368530619,-0.156106034,1,0.397236616,0.280594262,0.634877,0.489637306,0.423329383,0.308088106,0.372856854,0.132482642,0.469212269,0.30383963,0.335183814,0.305082655,0.284687225,0.169595848,0.165292169,0.129590008,-0.2
17,0.292330467,0.195176115,0.400312292,0.114285714,0.177898406,0.45252685,0.213630975,0.363406434,0.3144625,0.261897878,0.032876881,0.323043723,0.595238095,0.235803954,0.11201064,-0.084740002,0.397236616,1,0.306166821,0.393853961,0.251595991,0.484746841,0.097624586,0.366448853,0.017733158,0.133162021,0.175919073,0.259622502,0.267548729,0.322396476,-0.326010671,0.149080144,0.127739548,-0.2
18,-0.115998943,0.321462693,0.49660787,0.479156685,0.334036106,0.394333439,0.467250524,0.518562441,0.487973356,0.505628026,0.356215824,0.603674276,0.285714286,0.279624445,0.322077281,0.416305361,0.280594262,0.306166821,1,0.290655088,0.396943045,0.480587165,0.283546024,0.634019983,0.350523812,0.387158163,0.228012386,0.296669632,0.600849887,0.539832364,0.03387281,0.257126676,0.203410738,0.4
19,0.2977223,0.14090861,0.283210333,0.162586042,0.513425362,0.104674873,0.169148656,0.270134999,0.155559216,0.345061606,0.250220264,0.004251873,-0.257142857,0.251718183,0.361665678,-0.123899974,0.634877,0.393853961,0.290655088,1,0.649337814,0.138249152,0.040685659,0.312567946,0.04301193,0.354632926,0.23661674,0.313878903,0.083544721,0.266807149,-0.189049587,0.146967752,0.297094287,-0.2
20,0.283589455,0.318107516,0.31309276,0.10398768,0.524874318,0.126836661,0.359356929,0.220536073,0.238644578,0.541779911,0.239383192,0.139801088,-0.285714286,0.189803535,0.367489736,-0.16229892,0.489637306,0.251595991,0.396943045,0.649337814,1,0.332301999,0.16585022,0.283112152,-0.021392381,0.410264319,0.141865844,0.282136689,0.113924441,0.381251102,0.233640778,0.013770837,0.369687157,0.4
21,0.19895219,0.314623637,0.513939789,0.371464182,0.245445608,0.540328802,0.533376768,0.452515905,0.448425627,0.418360978,0.456106873,0.598875969,0.904761905,0.164830398,0.404028341,0.269430053,0.423329383,0.484746841,0.480587165,0.138249152,0.332301999,1,0.574864108,0.476384368,0.263059297,0.189944479,0.311242195,0.313795797,0.456120061,0.581057487,0.231174764,0.083094462,0.159396293,0.8
22,-0.22484296,0.142459381,0.227170905,0.377199156,0.201874956,0.486878375,0.41520622,0.33490364,0.374357623,0.309866579,0.512263885,0.487770179,-0.214285714,0.156486802,0.097446879,0.170928395,0.308088106,0.097624586,0.283546024,0.040685659,0.16585022,0.574864108,1,0.427987877,0.176963065,0.289253078,0.264166902,0.116229075,0.482661404,0.479232744,0.14844106,0.172063055,0.12050733,0.6
23,0.019437947,0.259534481,0.608289679,0.474946192,0.504250276,0.416283732,0.337612987,0.549040022,0.561611117,0.47455419,0.1506881,0.690421223,-0.166666667,0.448633802,0.263062183,0.18185022,0.372856854,0.366448853,0.634019983,0.312567946,0.283112152,0.476384368,0.427987877,1,0.505553862,0.39779176,0.278362438,0.553387111,0.6766126,0.477796811,0.146029449,0.407445232,0.342317401,0
24,0.039586919,0.179694099,0.408469114,0.184243287,-0.009383064,0.111358575,0.215125905,0.400225219,0.197412554,-0.008363826,-0.145892949,0.504268437,0.321428571,0.297630777,0.210838125,0.121531895,0.132482642,0.017733158,0.350523812,0.04301193,-0.021392381,0.263059297,0.176963065,0.505553862,1,0.043938244,0.055730168,0.231921938,0.441640083,0.165308498,0.128231713,0.145452556,-0.059940756,-0.8
25,0.18897281,0.518475109,0.315351161,0.344878665,0.413547707,0.405864525,0.324234293,0.299901154,0.441956576,0.330691176,0.332937999,0.320206521,-0.428571429,0.349103848,0.050704747,0.09929078,0.469212269,0.133162021,0.387158163,0.354632926,0.410264319,0.189944479,0.289253078,0.39779176,0.043938244,1,0.454305859,0.194313577,0.433089544,0.343176498,0.041300527,0.091985621,0.164759584,0.2
26,0.148239524,0.277519046,0.096978459,0.290229769,0.431532199,0.397759842,0.322741074,0.168835977,0.359315369,0.332321393,0.460969122,0.31233288,0.285714286,0.232489283,0.22754214,0.059434354,0.30383963,0.175919073,0.228012386,0.23661674,0.141865844,0.311242195,0.264166902,0.278362438,0.055730168,0.454305859,1,0.271765613,0.253014649,0.302368198,-0.192698655,0.427418502,-0.047474485,-0.6
27,-0.048216552,0.326383321,0.38156373,0.433926329,0.384233415,0.22343019,0.171987046,0.139971007,0.149015526,0.320649974,0.027201234,0.072340026,0.404761905,0.269808469,0.080668479,-0.126349974,0.335183814,0.259622502,0.296669632,0.313878903,0.282136689,0.313795797,0.116229075,0.553387111,0.231921938,0.194313577,0.271765613,1,0.306439674,0.250713657,0.171686796,0.368647353,0.239692361,-0.8
28,-0.030805019,0.377984086,0.509946797,0.374209758,0.46103075,0.628978059,0.195292621,0.344221339,0.496834071,0.442606835,0.32925212,0.65037463,0.285714286,0.531706867,0.298097496,0.25050978,0.305082655,0.267548729,0.600849887,0.083544721,0.113924441,0.456120061,0.482661404,0.6766126,0.441640083,0.433089544,0.253014649,0.306439674,1,0.41092511,0.144863972,0.217022027,0.041982305,0.8
29,-0.038593709,0.394107076,0.230992226,0.499718521,0.253894411,0.410431718,0.370272763,0.568176212,0.514165239,0.475242959,0.427967296,0.587469221,-0.028571429,0.378502203,0.298665788,0.134349815,0.284687225,0.322396476,0.539832364,0.266807149,0.381251102,0.581057487,0.479232744,0.477796811,0.165308498,0.343176498,0.302368198,0.250713657,0.41092511,1,0.214724088,-0.039145763,0.317114149,0.4
30,-0.094671508,-0.046327687,0.049680122,0.12871668,0.446327715,-0.27789271,0.070003808,-0.025602417,-0.313888044,0.146837391,0.252164256,-0.093251604,-0.051298918,0.195785852,0.140813293,-0.307851404,0.169595848,-0.326010671,0.03387281,-0.189049587,0.233640778,0.231174764,0.14844106,0.146029449,0.128231713,0.041300527,-0.192698655,0.171686796,0.144863972,0.214724088,1,0.014462818,-0.347891665,0.5
31,-0.130966768,0.111721999,0.199855035,0.251571737,0.295421704,0.078468394,0.182129679,-0.035458743,0.210838412,0.190156157,0.065127753,0.172594944,-0.485714286,0.160998132,-0.214535152,-0.125871292,0.165292169,0.149080144,0.257126676,0.146967752,0.013770837,0.083094462,0.172063055,0.407445232,0.145452556,0.091985621,0.427418502,0.368647353,0.217022027,-0.039145763,0.014462818,1,-0.029452461,0.5
32,-0.239786506,0.150879019,0.026275787,0.271731742,0.160994651,0.14347397,0.04723127,0.131509702,0.112640122,0.285272244,-0.128371932,0.175117616,-0.428571429,-0.044529262,0.146300418,0.013815465,0.129590008,0.127739548,0.203410738,0.297094287,0.369687157,0.159396293,0.12050733,0.342317401,-0.059940756,0.164759584,-0.047474485,0.239692361,0.041982305,0.317114149,-0.347891665,-0.029452461,1,-0.8
33,-0.5,-0.4,0,0.4,0.4,-0.4,-0.2,-0.8,1,0.8,1,0.4,0,0.4,-0.4,1,-0.2,-0.2,0.4,-0.2,0.4,0.8,0.6,0,-0.8,0.2,-0.6,-0.8,0.8,0.4,0.5,0.5,-0.8,1
