index,bias
0,-0.07271814346313477
1,-0.07595527172088623
2,-0.05997335910797119
3,-0.01579880714416504
4,0.022839367389678955
5,-0.07225418090820312
6,0.0063582658767700195
7,0.01089620590209961
8,-0.007987380027770996
9,-0.005486011505126953
10,-0.12619811296463013
11,-0.013163089752197266
12,-0.04745030403137207
13,-0.03451251983642578
14,-0.03799217939376831
15,-0.006653547286987305
16,0.022839367389678955
17,-0.05997335910797119
18,-0.003013014793395996
19,0.022839367389678955
20,-0.04054880142211914
21,-0.030841171741485596
22,-0.02268218994140625
23,-0.0829240083694458
24,-0.06285750865936279
25,-0.025556206703186035
26,-0.025676965713500977
28,-0.013751745223999023
29,-0.04928618669509888
30,-0.004769086837768555
31,-0.08575451374053955
32,0.006039440631866455
33,-0.005077719688415527
34,-0.06349468231201172
35,-0.018250882625579834
36,-0.009065389633178711
37,-0.042984843254089355
38,-0.10668790340423584
39,0.07427871227264404
40,-0.07148206233978271
41,-0.0069918036460876465
42,-0.18997371196746826
43,-0.042984843254089355
44,-0.08091264963150024
45,0.013699173927307129
46,-0.031775593757629395
47,-0.04408860206604004
