index,bias
0,-0.10660254955291748
1,-0.10660254955291748
2,-0.054688334465026855
3,-0.11457264423370361
4,-0.07369256019592285
5,-0.04491221904754639
6,-0.07896411418914795
7,-0.028389573097229004
8,-0.04401063919067383
9,-0.10138297080993652
10,-0.03377354145050049
11,-0.07264792919158936
12,-0.06411623954772949
13,-0.0502544641494751
14,-0.054113030433654785
15,-0.0701303482055664
16,-0.015943408012390137
17,-0.054688334465026855
18,-0.06989753246307373
19,-0.07369256019592285
20,-0.08060741424560547
21,-0.06650972366333008
22,-0.05010032653808594
23,-0.12681913375854492
24,-0.03577077388763428
25,0.0025783777236938477
28,-0.013906598091125488
29,-0.08565521240234375
30,-0.04428982734680176
31,-0.12136870622634888
32,-0.07534801959991455
33,-0.039660096168518066
34,-0.054944515228271484
35,-0.07821857929229736
36,-0.02300703525543213
37,-0.06942141056060791
38,-0.10078620910644531
39,-0.042960166931152344
40,-0.06276345252990723
42,-0.09228479862213135
43,-0.08368480205535889
44,-0.034636497497558594
45,-0.07833945751190186
46,-0.0705176591873169
